pgm;R01518;nan;nan;5.4.2.11 / 5.4.2.12
ppc;R00345;nan;nan;4.1.1.31
ppck;R00341;nan;nan;4.1.1.49
pps;R00199;nan;nan;2.7.9.2
pta;R00230;nan;nan;2.3.1.8
pts;R02738;nan;nan;2.7.1.69
pyk;R00200;nan;nan;2.7.1.40
rpe;R01529;nan;nan;5.1.3.1
rpi;R01056;nan;nan;5.3.1.6
scs;R00405;nan;nan;6.2.1.5
sdh;R02164;nan;nan;1.3.5.1
tal;R08575;nan;nan;2.2.1.2
tim;R01015;nan;nan;5.3.1.1
tkt1;R01641;nan;nan;2.2.1.1
tkt2;R01067;nan;nan;2.2.1.1
zwf;R00835;nan;nan;1.1.1.49acn;R01324;nan;nan;4.2.1.3
ada;R00228;nan;nan;1.2.1.10
adh;R00754;nan;nan;1.1.1.1
ald;R01070;nan;nan;4.1.2.13
atp-synth;??;nan;nan;7.1.2.2
csn;R00351;nan;nan;2.3.3.1
cytbd;R11335;nan;nan;7.1.1.3
eda;R05605;nan;nan;4.1.2.14
edd;R02036;nan;nan;4.2.1.12
ex-ace;nan;nan;nan;nan
ex-co2;nan;nan;nan;nan
ex-etoh;nan;nan;nan;nan
ex-for;nan;nan;nan;nan
ex-lac;nan;nan;nan;nan
ex-suc;nan;nan;nan;nan
fbp;R00762;nan;nan;3.1.3.11
frd;R02164;nan;nan;1.3.5.4
fum;R01082;nan;nan;4.2.1.2
gap;R01061;nan;nan;1.2.1.12
gdh;R00248  ;nan;nan;1.4.1.3
glh;R02035;nan;nan;3.1.1.31
gln;R00253;nan;nan;6.3.1.2
glt;R00114  ;nan;nan;1.4.1.13
icd;R00709;nan;nan;1.1.1.41
icl;R00479;nan;nan;4.1.3.1
kgd;R08549;nan;nan;1.2.4.2
ldh;R00703;nan;nan;1.1.1.27
mas;R00472;nan;nan;2.3.3.9
mdh;R00342;nan;nan;1.1.1.37
me;R00214;nan;nan;1.1.1.38
nad-thd;R00112;nan;nan;1.6.1.2
nadh-dh;R11945;nan;nan;7.1.1.2
pdh;R00209;nan;nan;1.2.4.1 
pfk;R04779;nan;nan;2.7.1.11
pfl;R00212;nan;nan;2.3.1.54
pgd;R01528;nan;nan;1.1.1.44
pgh;R00658;nan;nan;4.2.1.11
pgi;R02740;nan;nan;5.3.1.9
pgk;R01512;nan;nan;2.7.2.3
pgm;R01518;nan;nan;5.4.2.11 / 5.4.2.12
ppc;R00345;nan;nan;4.1.1.31
ppck;R00341;nan;nan;4.1.1.49
pps;R00199;nan;nan;2.7.9.2
pta;R00230;nan;nan;2.3.1.8
pts;R02738;nan;nan;2.7.1.69
pyk;R00200;nan;nan;2.7.1.40
rpe;R01529;nan;nan;5.1.3.1
rpi;R01056;nan;nan;5.3.1.6
scs;R00405;nan;nan;6.2.1.5
sdh;R02164;nan;nan;1.3.5.1
tal;R08575;nan;nan;2.2.1.2
tim;R01015;nan;nan;5.3.1.1
tkt1;R01641;nan;nan;2.2.1.1
tkt2;R01067;nan;nan;2.2.1.1
zwf;R00835;nan;nan;1.1.1.49acn;R01324;nan;nan;4.2.1.3
ada;R00228;nan;nan;1.2.1.10
adh;R00754;nan;nan;1.1.1.1
ald;R01070;nan;nan;4.1.2.13
atp-synth;??;nan;nan;7.1.2.2
csn;R00351;nan;nan;2.3.3.1
cytbd;R11335;nan;nan;7.1.1.3
eda;R05605;nan;nan;4.1.2.14
edd;R02036;nan;nan;4.2.1.12
ex-ace;nan;nan;nan;nan
ex-co2;nan;nan;nan;nan
ex-etoh;nan;nan;nan;nan
ex-for;nan;nan;nan;nan
ex-lac;nan;nan;nan;nan
ex-suc;nan;nan;nan;nan
fbp;R00762;nan;nan;3.1.3.11
frd;R02164;nan;nan;1.3.5.4
fum;R01082;nan;nan;4.2.1.2
gap;R01061;nan;nan;1.2.1.12
gdh;R00248  ;nan;nan;1.4.1.3
glh;R02035;nan;nan;3.1.1.31
gln;R00253;nan;nan;6.3.1.2
glt;R00114  ;nan;nan;1.4.1.13
icd;R00709;nan;nan;1.1.1.41
icl;R00479;nan;nan;4.1.3.1
kgd;R08549;nan;nan;1.2.4.2
ldh;R00703;nan;nan;1.1.1.27
mas;R00472;nan;nan;2.3.3.9
mdh;R00342;nan;nan;1.1.1.37
me;R00214;nan;nan;1.1.1.38
nad-thd;R00112;nan;nan;1.6.1.2
nadh-dh;R11945;nan;nan;7.1.1.2
pdh;R00209;nan;nan;1.2.4.1 
pfk;R04779;nan;nan;2.7.1.11
pfl;R00212;nan;nan;2.3.1.54
pgd;R01528;nan;nan;1.1.1.44
pgh;R00658;nan;nan;4.2.1.11
pgi;R02740;nan;nan;5.3.1.9
pgk;R01512;nan;nan;2.7.2.3
pgm;R01518;nan;nan;5.4.2.11 / 5.4.2.12
ppc;R00345;nan;nan;4.1.1.31
ppck;R00341;nan;nan;4.1.1.49
pps;R00199;nan;nan;2.7.9.2
pta;R00230;nan;nan;2.3.1.8
pts;R02738;nan;nan;2.7.1.69
pyk;R00200;nan;nan;2.7.1.40
rpe;R01529;nan;nan;5.1.3.1
rpi;R01056;nan;nan;5.3.1.6
scs;R00405;nan;nan;6.2.1.5
sdh;R02164;nan;nan;1.3.5.1
tal;R08575;nan;nan;2.2.1.2
tim;R01015;nan;nan;5.3.1.1
tkt1;R01641;nan;nan;2.2.1.1
tkt2;R01067;nan;nan;2.2.1.1
zwf;R00835;nan;nan;1.1.1.49acn;R01324;nan;nan;4.2.1.3
ada;R00228;nan;nan;1.2.1.10
adh;R00754;nan;nan;1.1.1.1
ald;R01070;nan;nan;4.1.2.13
atp-synth;??;nan;nan;7.1.2.2
csn;R00351;nan;nan;2.3.3.1
cytbd;R11335;nan;nan;7.1.1.3
eda;R05605;nan;nan;4.1.2.14
edd;R02036;nan;nan;4.2.1.12
ex-ace;nan;nan;nan;nan
ex-co2;nan;nan;nan;nan
ex-etoh;nan;nan;nan;nan
ex-for;nan;nan;nan;nan
ex-lac;nan;nan;nan;nan
ex-suc;nan;nan;nan;nan
fbp;R00762;nan;nan;3.1.3.11
frd;R02164;nan;nan;1.3.5.4
fum;R01082;nan;nan;4.2.1.2
gap;R01061;nan;nan;1.2.1.12
gdh;R00248  ;nan;nan;1.4.1.3
glh;R02035;nan;nan;3.1.1.31
gln;R00253;nan;nan;6.3.1.2
glt;R00114  ;nan;nan;1.4.1.13
icd;R00709;nan;nan;1.1.1.41
icl;R00479;nan;nan;4.1.3.1
kgd;R08549;nan;nan;1.2.4.2
ldh;R00703;nan;nan;1.1.1.27
mas;R00472;nan;nan;2.3.3.9
mdh;R00342;nan;nan;1.1.1.37
me;R00214;nan;nan;1.1.1.38
nad-thd;R00112;nan;nan;1.6.1.2
nadh-dh;R11945;nan;nan;7.1.1.2
pdh;R00209;nan;nan;1.2.4.1 
pfk;R04779;nan;nan;2.7.1.11
pfl;R00212;nan;nan;2.3.1.54
pgd;R01528;nan;nan;1.1.1.44
pgh;R00658;nan;nan;4.2.1.11
pgi;R02740;nan;nan;5.3.1.9
pgk;R01512;nan;nan;2.7.2.3
pgm;R01518;nan;nan;5.4.2.11 / 5.4.2.12
ppc;R00345;nan;nan;4.1.1.31
ppck;R00341;nan;nan;4.1.1.49
pps;R00199;nan;nan;2.7.9.2
pta;R00230;nan;nan;2.3.1.8
pts;R02738;nan;nan;2.7.1.69
pyk;R00200;nan;nan;2.7.1.40
rpe;R01529;nan;nan;5.1.3.1
rpi;R01056;nan;nan;5.3.1.6
scs;R00405;nan;nan;6.2.1.5
sdh;R02164;nan;nan;1.3.5.1
tal;R08575;nan;nan;2.2.1.2
tim;R01015;nan;nan;5.3.1.1
tkt1;R01641;nan;nan;2.2.1.1
tkt2;R01067;nan;nan;2.2.1.1
zwf;R00835;nan;nan;1.1.1.49acn;R01324;nan;nan;4.2.1.3
ada;R00228;nan;nan;1.2.1.10
adh;R00754;nan;nan;1.1.1.1
ald;R01070;nan;nan;4.1.2.13
atp-synth;??;nan;nan;7.1.2.2
csn;R00351;nan;nan;2.3.3.1
cytbd;R11335;nan;nan;7.1.1.3
eda;R05605;nan;nan;4.1.2.14
edd;R02036;nan;nan;4.2.1.12
ex-ace;nan;nan;nan;nan
ex-co2;nan;nan;nan;nan
ex-etoh;nan;nan;nan;nan
ex-for;nan;nan;nan;nan
ex-lac;nan;nan;nan;nan
ex-suc;nan;nan;nan;nan
fbp;R00762;nan;nan;3.1.3.11
frd;R02164;nan;nan;1.3.5.4
fum;R01082;nan;nan;4.2.1.2
gap;R01061;nan;nan;1.2.1.12
gdh;R00248  ;nan;nan;1.4.1.3
glh;R02035;nan;nan;3.1.1.31
gln;R00253;nan;nan;6.3.1.2
glt;R00114  ;nan;nan;1.4.1.13
icd;R00709;nan;nan;1.1.1.41
icl;R00479;nan;nan;4.1.3.1
kgd;R08549;nan;nan;1.2.4.2
ldh;R00703;nan;nan;1.1.1.27
mas;R00472;nan;nan;2.3.3.9
mdh;R00342;nan;nan;1.1.1.37
me;R00214;nan;nan;1.1.1.38
